id,question,choice_0,choice_1,choice_2,choice_3,choice_4,label,human_expl_open-ended,nle,max_shap_value
075e483d21c29a511267ef62bedc0461,"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?",ignore,enforce,authoritarian,yell at,avoid,0,Not sure what else could be a common ground,The correct choice is 'ignore' because the sanctions seem to disregard or 'ignore' the efforts the school had made to change.,0.14406828896608204
61fe6e879ff18686d7552425a36344c8,Sammy wanted to go to where the people were.  Where might he go?,race track,populated areas,the desert,apartment,roadblock,1,People will be in populated areas.,"The correct choice is 'populated areas' because the question implies that Sammy wants to go where there are people, which would be 'populated areas'.",0.5240694992244244
02e821a3e53cb320790950aab4489e85,Google Maps and other highway and street GPS services have replaced what?,united states,mexico,countryside,atlas,oceans,3,atlases were collections of highway and street maps,"The correct choice is 'atlas' because before the advent of GPS services like Google Maps, people used physical maps or 'atlas' for navigation.",0.34677721140906215
23505889b94e880c3e89cff4ba119860,"The fox walked from the city into the forest, what was it looking for?",pretty flowers.,hen house,natural habitat,storybook,dense forest,2,Usually the habitat of a fox is forest and it must be looking for it,"The correct choice is 'natural habitat' because the fox is moving from a city to a forest, which is its 'natural habitat'.",0.3443987309001386
e8a8b3a2061aa0e6d7c6b522e9612824,What home entertainment equipment requires cable?,radio shack,substation,cabinet,television,desk,3,television is the only option that is a home entertainment system,The correct choice is 'television' because televisions require a cable connection to receive signals for channels.,0.6304690046235919
3d0f8824ea83ddcc9ab03055658b89d3,"The forgotten leftovers had gotten quite old, he found it covered in mold in the back of his what?",carpet,refrigerator,breadbox,fridge,coach,1,Becuase Leftovers are put in the fridge,The correct choice is 'refrigerator' because leftovers are typically stored in a 'refrigerator' and can get moldy if forgotten for a long time.,0.1586191754322499
86c59f14af97b33ec13edc6ec4389e31,What do people use to absorb extra ink from a fountain pen?,shirt pocket,calligrapher's hand,inkwell,desk drawer,blotter,4,The other choices are really useful for absorbing a liquid,The correct choice is 'blotter' because a 'blotter' is a type of paper used to absorb excess ink from a fountain pen.,0.2852648589760065
cae61908c731d4a20889e04c3e784ebe,Where is a business restaurant likely to be located?,town,at hotel,mall,business sector,yellow pages,3,Business sector is the obvious choice for a business restaurant to be at because business men and women would be the wanted clients.,The correct choice is 'business sector' because a business restaurant is likely to be located in a 'business sector' where there are many offices and businesses.,0.3302866257727146
f5c9664c9930b704f2724fbd617bee9d,Johnny sat on a bench and relaxed after doing a lot of work on his hobby.  Where is he?,state park,bus depot,garden,gym,rest area,2,Garden are typically very relaxing.,"The correct choice is 'garden' because the question implies that Johnny is in a peaceful, relaxing place, which is often associated with a garden.",0.213825102429837
b63b9809c203321d6659ddf8551894bf,James was cooling off two quickly.  He would die if he didn't find some way to stop what?,loss of heat,revenge,expansion,relaxation,calm down,0,cooling is the loss of heat energy,"The correct choice is 'loss of heat' because the question implies that James is cooling off too quickly, which suggests he is losing heat.",0.3553672325797379
